latitude,longitude,district,state,elevation,slope,aspect,rainfall_24hr,rainfall_7days,ndvi,soil_moisture,distance_to_road,month,landslide
23.5649,92.8746,Aizawl,NER,1971.3,2.9,120.1,8.2,25.8,0.434,0.487,688.4,9,0
23.256,91.2047,Agartala,NER,1584.1,14.5,244.9,0.4,4.3,0.621,0.577,260.3,6,0
26.6812,94.3368,Jorhat,NER,1690.1,33.1,349.1,7.0,40.2,0.585,0.527,3722.7,7,0
26.3768,92.0282,Shillong,NER,1556.9,22.0,152.4,1.5,4.5,0.447,0.547,153.9,6,0
26.8311,93.5864,Itanagar,NER,990.0,19.4,202.0,1.3,10.2,0.622,0.357,51.5,8,0
23.4539,93.5101,Aizawl,NER,1769.2,5.3,339.4,3.4,14.1,0.95,0.677,4461.6,8,0
23.7317,91.0215,Agartala,NER,2276.4,33.6,109.7,8.3,49.4,0.471,0.602,2428.2,7,0
26.2612,91.4862,Guwahati,NER,1771.1,10.6,228.4,1.8,11.7,0.533,0.638,917.0,7,0
25.1754,93.8232,Imphal,NER,2016.0,24.1,117.3,0.1,0.7,0.68,0.604,295.9,9,0
27.565,93.6817,Itanagar,NER,1769.9,4.6,201.0,6.7,35.9,0.81,0.425,175.8,9,0
24.9139,94.1962,Imphal,NER,993.5,32.6,358.0,8.3,38.7,0.163,0.861,2143.6,9,0
26.3544,94.4361,Jorhat,NER,1515.7,13.6,126.0,5.7,37.0,0.675,0.465,5642.2,6,0
25.5388,91.9882,Shillong,NER,2387.4,12.8,110.1,12.7,66.3,0.593,0.297,1909.1,9,0
27.9989,94.6534,Dibrugarh,NER,874.1,6.3,106.7,19.4,175.8,0.404,0.469,2099.4,7,0
26.4042,93.7698,Jorhat,NER,325.6,11.2,103.2,23.0,109.2,0.152,0.476,1059.9,7,0
25.6146,93.5025,Kohima,NER,2008.4,22.7,346.6,5.6,43.7,0.527,0.403,5454.9,8,0
23.4937,93.2971,Aizawl,NER,1852.1,20.2,123.1,0.3,1.0,0.639,0.716,380.4,9,0
23.4502,92.6227,Aizawl,NER,136.7,8.2,221.7,6.9,21.8,0.567,0.678,2061.7,9,0
