latitude,longitude,elevation
27.0,88.0,1922.0
27.5,88.5,1775.0
28.0,88.5,5333.0
27.5,88.0,3364.0
26.0,91.5,48.0
26.5,92.0,61.0
27.0,92.5,756.0
26.0,93.0,76.0
25.5,93.5,512.0
26.5,94.0,95.0
27.0,94.5,89.0
27.5,95.0,110.0
24.5,93.5,563.0
25.0,94.0,838.0
24.5,94.0,778.0
24.0,93.5,1008.0
23.5,92.5,737.0
23.0,92.5,110.0
22.5,92.5,259.0
23.5,93.0,713.0
25.5,91.5,1656.0
25.5,92.0,1579.0
25.0,91.5,5.0
25.0,92.0,11.0
25.5,94.0,1511.0
26.0,94.0,713.0
25.5,94.5,1324.0
26.0,94.5,1761.0
23.5,91.0,5.0
24.0,91.5,122.0
23.5,91.5,39.0
24.0,91.0,5.0
27.0,93.5,650.0
27.5,93.5,1639.0
28.0,94.0,1761.0
27.5,94.0,1873.0
27.0,94.5,89.0
27.5,94.5,108.0
28.0,95.0,769.0
27.0,92.0,1108.0
