date,latitude,longitude,state,district,trigger,severity,elevation,slope,soil_type,vegetation_cover
2024-07-30,11.5542,76.1320,Kerala,Wayanad,cloudburst_rainfall,catastrophic,780,39,laterite_clay,61
2024-06-15,27.3389,88.6065,Sikkim,Gangtok,rainfall,medium,1487,38,silty_clay,45
2023-08-14,31.7087,76.9320,Himachal Pradesh,Mandi,intense_monsoon,large,760,39,fluvial_silt,58
2023-08-13,31.1048,77.1734,Himachal Pradesh,Shimla,rainfall_runoff,large,2206,37,phyllitic_schist,61
2023-07-19,18.8890,73.1890,Maharashtra,Raigad,heavy_downpour,catastrophic,520,44,decomposed_trap,48
2021-02-07,30.5564,79.5667,Uttarakhand,Chamoli,glacial_rock_avalanche,catastrophic,1890,45,morainic_debris,49
2021-07-22,17.9237,73.6586,Maharashtra,Satara,extreme_rainfall,large,1353,43,basalt_laterite,57
2024-08-12,25.4500,93.1800,Assam,Dima Hasao,rainfall,large,680,41,sandstone_residue,42
2024-09-01,27.5860,91.8800,Arunachal Pradesh,Tawang,rainfall,medium,3048,48,glacial_till,25
2023-10-04,27.5124,88.5281,Sikkim,Mangan,glacier_lake_burst,catastrophic,796,42,weathered_gneiss,35
2025-06-18,25.2838,91.7344,Meghalaya,East Khasi Hills,rainfall,large,1430,33,sandstone,52
2025-07-05,23.7271,92.7176,Mizoram,Aizawl,rainfall,medium,1132,44,sandstone_weathered,38
2022-07-08,34.2150,75.5030,Jammu & Kashmir,Ganderbal,cloudburst,large,2730,42,morainic_gravel,30
2019-08-08,11.4102,76.6950,Tamil Nadu,Nilgiris,continuous_monsoon,large,2240,36,charnockite_loam,66
2018-08-16,10.0889,77.0595,Kerala,Idukki,monsoon_deluge,catastrophic,1532,41,loamy_peat,63
2024-07-10,24.8170,93.9368,Manipur,Imphal East,rainfall,medium,786,36,loam,42
2026-08-01,26.1445,91.7362,Assam,Kamrup,rainfall,small,550,28,alluvial,40\n
