latitude,longitude,district,elevation,slope,aspect,month,rainfall_daily,rainfall_7day,ndvi,soil_moisture,distance_to_road,land_cover,landslide
25.9229,93.7186,Dimapur,178.827,19.451,272,11,16.573,113.684,0.165,0.369,50207.8,forest,0
25.4524,93.214,Dima Hasao,413.0,46.8,348,12,2.8,20.0,0.335,0.331,105829.1,bare,1
23.8308,91.2833,West Tripura,12.074,7.206,78,3,15.771,107.161,0.455,0.386,772.9,grassland,0
28.0734,95.3531,East Siang,163.968,30.952,284,7,103.175,704.366,0.756,0.86,218221.6,urban,0
25.3145,91.7543,East Khasi Hills,1039.154,47.651,220,1,5.923,48.098,0.436,0.259,37138.7,agriculture,0
28.063,95.3249,East Siang,163.746,23.674,86,12,6.748,32.919,0.652,0.293,218221.6,bare,0
28.087,95.3299,East Siang,143.306,25.418,178,11,15.726,94.782,0.684,0.365,218221.6,urban,0
23.7168,92.751,Aizawl,967.602,43.535,238,2,10.287,90.677,0.34,0.261,417.8,agriculture,0
24.3252,93.6802,Churachandpur,947.986,49.178,249,6,62.451,429.227,0.321,0.64,60247.5,urban,0
25.6166,91.9174,East Khasi Hills,944.835,46.421,178,12,3.33,26.7,0.573,0.232,389.8,agriculture,0
25.5296,90.2373,West Garo Hills,309.428,41.071,34,2,8.909,49.455,0.508,0.29,182468.5,bare,0
22.9264,92.7204,Lunglei,917.814,45.601,87,12,3.126,23.93,0.258,0.313,92190.2,forest,0
26.1742,91.7051,Kamrup,55.946,36.83,247,11,17.155,136.321,0.341,0.398,653.8,bare,0
22.9237,92.7555,Lunglei,813.063,52.05,247,12,3.147,15.688,0.397,0.29,92190.2,bare,0
27.1785,88.4786,Namchi,824.972,46.3,16,12,4.489,37.812,0.327,0.22,51552.7,grassland,0
22.8642,92.7655,Lunglei,891.6,34.7,185,6,159.6,1108.4,0.655,0.609,92190.2,bare,1
25.3901,93.198,Dima Hasao,374.311,51.842,340,5,26.167,214.966,0.447,0.379,105829.1,bare,0
23.8262,91.3149,West Tripura,11.979,14.909,240,5,30.615,226.15,0.61,0.406,772.9,agriculture,0
28.0462,95.3001,East Siang,153.502,35.544,171,11,17.079,119.887,0.575,0.328,218221.6,forest,0
27.5121,88.53,Mangan,796.0,53.4,199,1,7.0,54.7,0.295,0.236,88627.9,agriculture,0
23.7911,91.2665,West Tripura,12.164,12.338,196,12,3.13,19.86,0.546,0.248,772.9,urban,0
25.6514,94.122,Kohima,1494.968,46.648,183,10,19.149,134.855,0.472,0.539,219.8,agriculture,0
27.0656,93.659,Papum Pare,170.15,28.786,299,2,7.5,42.935,0.587,0.285,8177.4,bare,0
23.7986,91.2732,West Tripura,12.0,17.5,321,9,186.1,1228.3,0.525,0.666,772.9,forest,1
25.5726,91.9029,East Khasi Hills,935.735,41.137,133,1,4.189,28.202,0.576,0.261,389.8,urban,0
25.5885,91.9314,East Khasi Hills,1029.0,36.6,171,8,204.2,1446.9,0.725,0.734,389.8,urban,1
