station_id,name,latitude,longitude,elevation,soil_moisture_0_7cm,soil_moisture_7_28cm,estimated_ndvi
NER-001,Gangtok,27.3389,88.6065,1487,0.3856,0.391,0.457
NER-002,Mangan,27.5124,88.5281,796,0.3489,0.3995,0.421
NER-003,Namchi,27.1684,88.551,814,0.4357,0.4235,0.525
NER-004,Guwahati,26.1445,91.7362,52,0.4412,0.4687,0.44
NER-005,Diphu,26.1,93.2,180,0.4211,0.448,0.509
NER-006,Imphal,24.817,93.9368,782,0.4018,0.4188,0.457
NER-007,Churachandpur,24.3322,93.6825,862,0.3824,0.3803,0.398
NER-008,Aizawl,23.7271,92.7176,1069,0.3979,0.4136,0.407
NER-009,Lunglei,22.9,92.75,720,0.4283,0.4335,0.464
NER-010,Shillong,25.5788,91.8933,1436,0.4739,0.5239,0.596
NER-011,Cherrapunji,25.2838,91.7344,1029,0.4823,0.4992,0.514
NER-012,Tura,25.514,90.22,650,0.4489,0.4451,0.551
NER-013,Kohima,25.6586,94.1086,1365,0.4132,0.4347,0.486
NER-014,Dimapur,25.9,93.7266,147,0.4531,0.4782,0.383
NER-015,Agartala,23.8315,91.2868,12,0.4691,0.4916,0.505
NER-016,Itanagar,27.0844,93.692,160,0.4093,0.434,0.559
NER-017,Ziro,27.5887,93.8492,1592,0.3854,0.4046,0.66
NER-018,Pasighat,28.07,95.33,155,0.4284,0.4607,0.646
NER-019,Tawang,27.586,91.88,2791,0.3359,0.3644,0.33
NER-020,Haflong,25.45,93.18,413,0.4192,0.4265,0.445
