event_id,event_date,latitude,longitude,country,landslide_size,landslide_trigger,fatality_count
NER001,2024-06-15,27.3389,88.6065,India,medium,rain,0
NER002,2024-07-22,25.2592,91.7276,India,small,rain,0
NER003,2024-08-05,27.1800,88.5300,India,medium,rain,1
NER004,2023-06-18,25.2838,91.7344,India,large,rain,3
NER005,2023-07-12,23.7271,92.7176,India,medium,rain,0
NER006,2023-08-20,24.8170,93.9368,India,medium,rain,0
NER007,2022-06-25,25.6586,94.1086,India,large,rain,2
NER008,2022-07-30,27.5860,91.8800,India,large,flood,5
NER009,2022-08-15,25.9000,93.7266,India,medium,flood,1
NER010,2022-09-05,28.0700,95.3300,India,medium,flood,0
NER011,2021-06-20,27.3300,88.6100,India,medium,rain,0
NER012,2021-07-08,25.5788,91.8933,India,medium,rain,0
NER013,2020-06-15,27.5124,88.5281,India,medium,rain,1
NER014,2020-07-22,27.0844,93.6920,India,small,rain,0
NER015,2020-08-10,22.9000,92.7500,India,medium,rain,0
NER016,2019-07-15,27.5887,93.8492,India,small,rain,0
NER017,2018-06-28,25.4500,93.1800,India,large,rain,2
NER018,2018-07-20,26.1445,91.7362,India,small,rain,0
NER019,2018-08-05,24.3322,93.6825,India,medium,rain,0
NER020,2017-06-12,27.3100,88.5800,India,small,rain,0
NER021,2017-07-25,23.8315,91.2868,India,small,rain,0
NER022,2017-08-18,25.6600,94.1100,India,medium,rain,0
NER023,2015-06-22,27.5200,88.5300,India,large,rain,2
NER024,2015-07-10,25.8500,93.4200,India,medium,rain,0
NER025,2014-06-18,27.1684,88.5510,India,medium,rain,0
NER026,2014-07-28,25.5140,90.2200,India,small,rain,0
NER027,2013-07-15,27.5124,88.5281,India,large,rain,2
NER028,2013-08-05,23.7200,92.7200,India,medium,rain,0
NER029,2011-06-18,27.3389,88.6065,India,medium,rain,0
NER030,2011-07-22,25.5788,91.8933,India,small,rain,0
NER031,2018-06-15,24.8100,93.9400,India,medium,rain,0
NER032,2020-07-05,27.3350,88.6080,India,small,rain,0
NER033,2023-06-30,25.6586,94.1086,India,large,rain,0
NER034,2015-07-20,25.9000,93.7266,India,small,rain,0
NER035,2018-07-05,27.0844,93.6920,India,medium,rain,0
NER036,2022-06-10,22.9000,92.7500,India,small,rain,0
NER037,2014-08-10,28.0700,95.3300,India,small,rain,0
NER038,2017-06-28,26.1445,91.7362,India,small,rain,0
NER039,2024-07-10,27.1684,88.5510,India,small,rain,0
NER040,2023-07-05,27.5887,93.8492,India,small,rain,0
NER041,2011-08-05,25.5140,90.2200,India,small,rain,0
NER042,2022-07-15,24.3322,93.6825,India,small,rain,0
NER043,2013-06-20,23.8315,91.2868,India,small,rain,0
NER044,2011-07-05,27.3400,88.6100,India,small,rain,0
