latitude,longitude,district,elevation,slope,aspect,month,rainfall_daily,rainfall_7day,ndvi,soil_moisture,distance_to_road,land_cover,landslide
27.3608,88.6042,Gangtok,1708.0,60,156,1,7.0,57.9,0.393,0.283,71436.9,agriculture,1
27.3526,88.6137,Gangtok,1791.1,48.1,238,1,2.7,19.0,0.325,0.293,71436.9,bare,0
27.352,88.6206,Gangtok,1570.8,55.7,238,1,3.5,25.8,0.402,0.276,71436.9,forest,1
27.3258,88.6288,Gangtok,1642.1,58.3,151,1,4.1,28.0,0.325,0.213,71436.9,grassland,1
27.3282,88.6324,Gangtok,1786.9,50.3,40,1,7.1,49.7,0.3,0.267,71436.9,urban,0
27.3453,88.6152,Gangtok,1629.5,52.0,58,1,3.8,29.2,0.32,0.249,71436.9,urban,1
27.3408,88.5843,Gangtok,1644.6,46.7,321,1,4.8,29.5,0.307,0.249,71436.9,urban,0
27.3322,88.6286,Gangtok,1843.9,59.3,207,1,4.4,25.3,0.497,0.255,71436.9,agriculture,1
27.3568,88.5994,Gangtok,1766.6,51.7,240,1,3.3,26.5,0.296,0.225,71436.9,agriculture,1
27.3438,88.6103,Gangtok,1664.8,53.6,55,1,2.6,15.7,0.238,0.206,71436.9,urban,1
27.2996,88.6238,Gangtok,1698.5,56.1,47,1,5.1,32.4,0.298,0.298,71436.9,grassland,1
27.3153,88.5914,Gangtok,1684.2,60,93,1,7.1,55.9,0.297,0.28,71436.9,grassland,1
27.3658,88.6021,Gangtok,1364.0,51.9,327,1,2.8,16.1,0.352,0.251,71436.9,grassland,0
27.3486,88.6123,Gangtok,1680.2,58.5,1,1,3.3,20.0,0.38,0.25,71436.9,bare,1
27.3522,88.6144,Gangtok,1798.9,57.9,359,1,5.9,40.9,0.393,0.21,71436.9,forest,1
27.3427,88.584,Gangtok,1631.0,59.0,92,1,4.7,36.2,0.441,0.256,71436.9,grassland,1
27.3537,88.6108,Gangtok,1689.1,59.4,282,1,6.7,52.3,0.24,0.215,71436.9,agriculture,1
27.3645,88.6195,Gangtok,1641.9,60,112,1,5.6,41.0,0.328,0.284,71436.9,grassland,1
27.3093,88.6023,Gangtok,1784.1,60,269,1,5.6,33.7,0.311,0.206,71436.9,grassland,1
27.307,88.607,Gangtok,1423.7,59.3,0,1,4.6,30.7,0.275,0.244,71436.9,grassland,1
27.3124,88.5987,Gangtok,1822.6,50.4,298,1,7.3,55.0,0.272,0.283,71436.9,bare,1
