latitude,longitude,elevation_m,slope_angle,aspect,rainfall_mm,soil_moisture,ndvi,landslide_probability,risk_level,state,district
27.33634823432434,88.57655293171318,1666.6159172033858,36.66331260751416,216,45.7,0.374,0.533,0.556,high,Sikkim,Gangtok
27.309486276565043,88.5945872775603,1634.2985791942172,33.02710999518453,229,63.0,0.413,0.572,0.659,high,Sikkim,Gangtok
27.333060959012997,88.58921932670435,1720.2448351984226,48.40349766671669,172,3.7,0.255,0.821,0.356,moderate,Sikkim,Gangtok
27.338356853355663,88.61243659297904,1625.0147123868185,38.65114598629694,193,73.5,0.488,0.463,0.642,high,Sikkim,Gangtok
27.3304654711494,88.61648494283428,1716.6561365245484,41.11387312755635,148,72.0,0.459,0.334,0.424,moderate,Sikkim,Gangtok
27.302602997785307,88.61743956015546,1674.438705944022,41.99671534458315,343,108.7,0.373,0.648,0.527,high,Sikkim,Gangtok
27.354269470309394,88.63493699962686,1675.284634541963,42.17908672983837,327,42.5,0.75,0.427,0.455,moderate,Sikkim,Gangtok
27.373776022336127,88.61928881240084,1667.1655060119192,33.236398930805166,33,42.0,0.302,0.435,0.626,high,Sikkim,Gangtok
27.32766404815332,88.58986837797515,1697.613677990791,35.165835825931495,135,67.4,0.748,0.643,0.532,high,Sikkim,Gangtok
27.315059635700507,88.618006316859,1538.640702544659,51.122343830382555,70,81.7,0.591,0.309,0.583,high,Sikkim,Gangtok
27.314223455866216,88.58105305057894,1634.0081599564533,38.85110377527697,195,36.9,0.396,0.619,0.478,moderate,Sikkim,Gangtok
27.36714911842629,88.59581152142397,1728.1649050734384,44.85213397206343,136,22.2,0.304,0.548,0.55,high,Sikkim,Gangtok
27.37089916305623,88.60715258290053,1624.696325985917,24.878439344291273,91,53.2,0.264,0.526,0.536,high,Sikkim,Gangtok
27.325595275391006,88.60585891787944,1629.1556767920765,40.113078533270865,271,35.8,0.397,0.347,0.353,moderate,Sikkim,Gangtok
27.30102548207501,88.65057506604552,1662.9187545094528,34.533462697921415,123,85.4,0.301,0.477,0.559,high,Sikkim,Gangtok
27.36957092391476,88.62074771036157,1652.6035592551975,35.391751747909204,243,102.4,0.148,0.699,0.596,high,Sikkim,Gangtok
27.38374195740891,88.59628799510968,1652.530657991495,30.353186175152423,159,67.0,0.37,0.348,0.522,high,Sikkim,Gangtok
27.324499110735115,88.61103091025223,1659.4868024634634,38.403655036371724,283,13.9,0.533,0.325,0.628,high,Sikkim,Gangtok
27.344630320559634,88.64955590470201,1662.1851520486075,36.52017883613959,121,52.6,0.505,0.741,0.566,high,Sikkim,Gangtok
27.358270690905254,88.5888479963842,1652.4891699057907,43.65360149256039,208,43.8,0.57,0.317,0.503,high,Sikkim,Gangtok
27.307268952757735,88.61314905692747,1583.3237005788064,25.23990563082688,50,55.0,0.463,0.407,0.578,high,Sikkim,Gangtok
27.34779685358684,88.62964379849085,1670.2652965562877,40.45537435770239,236,95.0,0.49,0.573,0.557,high,Sikkim,Gangtok
27.332775099604376,88.6044960490234,1745.0794488191634,37.95713424369603,47,50.1,0.74,0.271,0.663,high,Sikkim,Gangtok
27.343472733799857,88.62622660298142,1695.5298911107511,39.75765062515984,199,102.2,0.27,0.637,0.667,high,Sikkim,Gangtok
27.402198842029538,88.58910541633787,1575.2350113445868,35.267452323316796,79,45.0,0.661,0.399,0.584,high,Sikkim,Gangtok
27.354993407443104,88.61298410574626,1704.1097084867504,39.7634826502408,271,57.8,0.498,0.778,0.568,high,Sikkim,Gangtok
27.314095886640285,88.58963514252065,1652.3457928753082,40.515988704067645,291,91.9,0.719,0.634,0.668,high,Sikkim,Gangtok
27.317857730145505,88.59429141390554,1680.994856116022,36.65193560146789,160,51.0,0.601,0.436,0.48,moderate,Sikkim,Gangtok
27.32541213923125,88.63704671563804,1699.7110571948872,40.43698963231308,288,52.1,0.55,0.49,0.463,moderate,Sikkim,Gangtok
27.376580713684632,88.58970248091062,1684.857798158006,34.69642716203219,80,61.7,0.399,0.577,0.594,high,Sikkim,Gangtok
27.34751658170527,88.58352236871222,1618.6189480264995,32.469025564318656,339,15.2,0.471,0.41,0.728,high,Sikkim,Gangtok
27.33834627094417,88.5948874001854,1643.1837977871455,41.37066432769092,175,99.0,0.586,0.521,0.845,critical,Sikkim,Gangtok
27.370948490495653,88.58481877886119,1693.9028593842083,40.875927424205976,141,62.2,0.604,0.535,0.68,high,Sikkim,Gangtok
27.350291050854565,88.62485007420072,1632.3612286817759,31.83226749707706,57,76.0,0.437,0.835,0.733,high,Sikkim,Gangtok
27.352298430864725,88.583712350509,1665.5980348345436,40.09368630209429,157,105.3,0.542,0.705,0.55,high,Sikkim,Gangtok
27.31992329967198,88.63009270540974,1626.7103328172138,33.95045243414323,286,4.0,0.662,0.592,0.449,moderate,Sikkim,Gangtok
27.375076395502212,88.58944363462997,1740.218287753956,36.641079974589594,211,72.9,0.298,0.487,0.489,moderate,Sikkim,Gangtok
27.351779417405815,88.56867702222097,1664.673405873031,34.3443004616731,359,98.4,0.438,0.379,0.82,critical,Sikkim,Gangtok
27.34792445733411,88.5862032651861,1619.7306213825768,46.37611194710241,116,97.3,0.591,0.617,0.569,high,Sikkim,Gangtok
27.370132278867136,88.6210581915132,1614.5792348490677,42.80214324543677,347,57.5,0.617,0.453,0.614,high,Sikkim,Gangtok
27.351228189396345,88.60418041739747,1688.1926936238535,37.08394545089236,55,86.9,0.378,0.619,0.542,high,Sikkim,Gangtok
27.34876694780174,88.60551947926086,1676.2066601394079,36.08348648081384,22,27.3,0.321,0.586,0.328,moderate,Sikkim,Gangtok
27.332615764287375,88.57418606872672,1627.239630854174,33.82089649788911,35,49.6,0.392,0.717,0.422,moderate,Sikkim,Gangtok
27.369322999603238,88.6367800914477,1575.936138929214,37.668327867297016,167,114.1,0.293,0.392,0.517,high,Sikkim,Gangtok
27.36689389342393,88.59549036040727,1706.6366431090999,34.035732000943156,154,29.5,0.472,0.659,0.535,high,Sikkim,Gangtok
27.344987074544285,88.57986514616924,1626.3235210302616,42.85230757712887,345,2.8,0.558,0.516,0.503,high,Sikkim,Gangtok
27.34297037321373,88.61387009410602,1579.543813510173,37.31379868032667,171,57.7,0.565,0.768,0.42,moderate,Sikkim,Gangtok
27.3428294721546,88.59591284401003,1787.705092240233,42.11483576761306,312,111.6,0.605,0.562,0.746,high,Sikkim,Gangtok
27.34946293091703,88.63551619089793,1612.6272583274097,38.13209020042843,335,56.8,0.353,0.368,0.592,high,Sikkim,Gangtok
27.341396736017863,88.59266715137284,1675.7273778824654,30.72656265595972,237,25.8,0.107,0.75,0.21,low,Sikkim,Gangtok
27.34832344951413,88.5783525670442,1717.0730344908382,37.48876225850941,226,71.6,0.435,0.646,0.448,moderate,Sikkim,Gangtok
27.298153467355924,88.59386041610966,1647.7389744748664,32.33116131397455,132,13.7,0.245,0.267,0.416,moderate,Sikkim,Gangtok
27.32417880811293,88.60792917878973,1576.5129407961194,40.916365627985805,120,50.6,0.113,0.506,0.617,high,Sikkim,Gangtok
27.342515208086663,88.63706362565529,1645.0733409838203,36.24600545592632,208,46.4,0.53,0.471,0.511,high,Sikkim,Gangtok
27.312559761263813,88.62843678548454,1659.3661916194674,37.66983965458509,294,33.7,0.547,0.812,0.54,high,Sikkim,Gangtok
27.368875566046487,88.56706764992809,1577.5504851300748,42.04116101246503,279,47.6,0.411,0.4,0.644,high,Sikkim,Gangtok
27.319132797546914,88.60828813225052,1606.35439156538,30.192296819411528,84,69.7,0.095,0.431,0.494,moderate,Sikkim,Gangtok
27.36122708603161,88.59171888039577,1639.1159383777128,36.21129934372889,219,86.3,0.116,0.734,0.48,moderate,Sikkim,Gangtok
27.343145145599646,88.6237801454404,1653.4416162801392,33.130408031175236,215,72.0,0.526,0.689,0.583,high,Sikkim,Gangtok
27.35746279642363,88.60648924971616,1598.8261826976595,30.94310141140353,333,49.8,0.462,0.735,0.506,high,Sikkim,Gangtok
27.3282216341017,88.59630236289532,1625.6939940434702,38.40752885334661,111,57.3,0.409,0.555,0.705,high,Sikkim,Gangtok
27.36991556898974,88.59930784430384,1655.1953381851827,35.05510385602249,159,27.5,0.425,0.411,0.572,high,Sikkim,Gangtok
27.358314708381087,88.60127685504604,1645.6652004974083,36.05988018225647,353,55.3,0.421,0.464,0.66,high,Sikkim,Gangtok
27.32437131783179,88.57335047642829,1668.499776514589,31.81086836317878,21,60.9,0.302,0.509,0.424,moderate,Sikkim,Gangtok
27.31778737905163,88.63920616299029,1660.3666366747173,35.878203580073894,185,31.8,0.53,0.428,0.586,high,Sikkim,Gangtok
27.33362558346179,88.55487628069183,1638.564897239901,47.01428235789409,275,12.9,0.188,0.507,0.282,moderate,Sikkim,Gangtok
27.332312267882067,88.61998913132655,1687.0722161361634,36.38527418556369,230,55.2,0.234,0.642,0.346,moderate,Sikkim,Gangtok
27.377290236244722,88.61349883931237,1664.3383522378515,41.14079309927548,132,51.3,0.568,0.437,0.482,moderate,Sikkim,Gangtok
27.387444411423036,88.6096004326625,1718.5201502295592,42.08797120458933,250,16.8,0.661,0.514,0.41,moderate,Sikkim,Gangtok
27.335365755411896,88.60769333137867,1636.0339317448809,42.89478120399417,124,29.1,0.362,0.316,0.495,moderate,Sikkim,Gangtok
27.309353206671485,88.6214372182979,1612.1347487231312,44.80727331026104,138,36.3,0.586,0.368,0.546,high,Sikkim,Gangtok
27.33670453574434,88.5574497053954,1638.028231295069,34.96717433837931,247,42.4,0.502,0.527,0.419,moderate,Sikkim,Gangtok
27.376432573551277,88.60188082492164,1636.4452656890658,42.53276161521774,154,43.4,0.597,0.563,0.388,moderate,Sikkim,Gangtok
27.309697331370536,88.59632528079406,1720.637103257155,45.178207721048786,251,86.9,0.416,0.488,0.848,critical,Sikkim,Gangtok
27.31089768156214,88.65019499142993,1648.451238114431,47.94488906622623,58,53.8,0.414,0.513,0.623,high,Sikkim,Gangtok
